,popularity,id,vote_count,vote_average,title,release_date,original_language,genre_ids,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
0,57.28,278,17472,8.7,The Shawshank Redemption,1994-09-23,en,"['Drama', 'Crime']",397,The Shawshank Redemption,1994,R,111161,142,Drama,80.0,9.3,2304470,28.34
1,17.364,19404,2418,8.7,Dilwale Dulhania Le Jayenge,1995-10-20,hi,"['Comedy', 'Drama', 'Romance']",893,Dilwale Dulhania Le Jayenge,1995,Not Rated,112870,181,"Drama, Romance",,8.1,62600,--
2,48.154,238,13224,8.7,The Godfather,1972-03-14,en,"['Drama', 'Crime']",137,The Godfather,1972,R,68646,175,"Crime, Drama",100.0,9.2,1590465,134.97
3,31.382,424,10522,8.6,Schindler's List,1993-11-30,en,"['Drama', 'History', 'War']",193,Schindler's List,1993,R,108052,195,"Biography, Drama, History",94.0,8.9,1195709,96.90
4,130.76,372058,6590,8.6,Your Name.,2016-08-26,ja,"['Romance', 'Animation', 'Drama']",590,Your Name.,2016,PG,5311514,106,"Animation, Drama, Fantasy",79.0,8.4,185483,5.02
5,38.426,240,7845,8.6,The Godfather: Part II,1974-12-20,en,"['Drama', 'Crime']",265,The Godfather: Part II,1974,R,71562,202,"Crime, Drama",90.0,9.0,1111227,57.30
6,57.203,129,10361,8.5,Spirited Away,2001-07-20,ja,"['Animation', 'Family', 'Fantasy']",520,Spirited Away,2001,PG,245429,125,"Animation, Adventure, Family",96.0,8.6,636848,10.06
7,142.45,496243,9657,8.5,Parasite,2019-05-30,ko,"['Comedy', 'Thriller', 'Drama']",285,Parasite,2019,R,6751668,132,"Comedy, Drama, Thriller",96.0,8.6,504816,53.37
8,34.451,497,11187,8.5,The Green Mile,1999-12-10,en,"['Fantasy', 'Drama', 'Crime']",135,The Green Mile,1999,R,120689,189,"Crime, Drama, Fantasy",61.0,8.6,1126765,136.80
9,46.579,680,19839,8.5,Pulp Fiction,1994-09-10,en,"['Thriller', 'Crime']",174,Pulp Fiction,1994,R,110912,154,"Crime, Drama",94.0,8.9,1798865,107.93
10,36.191,637,9441,8.5,Life Is Beautiful,1997-12-20,it,"['Comedy', 'Drama']",262,Life Is Beautiful,1997,PG-13,118799,116,"Comedy, Drama, Romance",59.0,8.6,613006,57.60
11,60.784,122,16498,8.5,The Lord of the Rings: The Return of the King,2003-12-01,en,"['Adventure', 'Fantasy', 'Action']",19,The Lord of the Rings: The Return of the King,2003,PG-13,167260,201,"Action, Adventure, Drama",94.0,8.9,1619083,377.85
12,42.03,13,19182,8.5,Forrest Gump,1994-07-06,en,"['Comedy', 'Drama', 'Romance']",26,Forrest Gump,1994,PG-13,109830,142,"Drama, Romance",82.0,8.8,1776071,330.25
13,20.961,311,3258,8.5,Once Upon a Time in America,1984-05-23,en,"['Drama', 'Crime']",583,Once Upon a Time in America,1984,R,87843,229,"Crime, Drama",,8.4,306054,5.32
14,73.57,155,23630,8.5,The Dark Knight,2008-07-16,en,"['Drama', 'Action', 'Crime', 'Thriller']",7,The Dark Knight,2008,PG-13,468569,152,"Action, Crime, Drama",84.0,9.0,2267951,534.86
15,23.063,389,5075,8.5,12 Angry Men,1957-04-10,en,['Drama'],603,12 Angry Men,1957,Approved,50083,96,"Crime, Drama",96.0,9.0,677369,4.36
16,17.155,11216,2586,8.4,Cinema Paradiso,1988-11-17,it,"['Drama', 'Romance']",502,Cinema Paradiso,1988,R,95765,155,Drama,80.0,8.5,226261,11.99
17,39.145,429,5443,8.4,"The Good, the Bad and the Ugly",1966-12-23,it,['Western'],566,"The Good, the Bad and the Ugly",1966,R,60196,178,Western,90.0,8.8,679128,6.10
18,44.863,556574,485,8.4,Hamilton,2020-07-03,en,"['History', 'Music', 'Drama']",840,Hamilton,2020,PG-13,8503618,160,"Biography, Drama, History",90.0,8.6,46114,--
19,22.0,346,2066,8.4,Seven Samurai,1954-04-26,ja,"['Action', 'Drama']",776,Seven Samurai,1954,Not Rated,47478,207,"Action, Adventure, Drama",98.0,8.6,311412,0.27
20,34.799,539,6777,8.4,Psycho,1960-06-22,en,"['Horror', 'Drama', 'Thriller']",384,Psycho,1960,R,54215,109,"Horror, Mystery, Thriller",97.0,8.5,595246,32.00
21,17.92,11252,642,5.1,Psycho,1998-12-04,en,"['Horror', 'Mystery', 'Thriller']",384,Psycho,1960,R,54215,109,"Horror, Mystery, Thriller",97.0,8.5,595246,32.00
22,46.071,598,4637,8.4,City of God,2002-02-05,pt,"['Drama', 'Crime']",544,City of God,2002,R,317248,130,"Crime, Drama",79.0,8.6,691357,7.56
23,42.854,550,20381,8.4,Fight Club,1999-10-15,en,['Drama'],355,Fight Club,1999,R,137523,139,Drama,66.0,8.8,1826290,37.03
24,25.402,510,7170,8.4,One Flew Over the Cuckoo's Nest,1975-11-18,en,['Drama'],167,One Flew Over the Cuckoo's Nest,1975,R,73486,133,Drama,83.0,8.7,904785,112.00
25,153.903,324857,8269,8.4,Spider-Man: Into the Spider-Verse,2018-12-06,en,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']",90,Spider-Man: Into the Spider-Verse,2018,PG,4633694,117,"Animation, Action, Adventure",87.0,8.4,350435,190.24
26,48.783,4935,5738,8.4,Howl's Moving Castle,2004-11-19,ja,"['Fantasy', 'Animation', 'Adventure']",596,Howl's Moving Castle,2004,PG,347149,119,"Animation, Adventure, Family",80.0,8.2,325434,4.71
27,0.6,12477,3103,8.4,Grave of the Fireflies,1988-04-16,ja,"['Animation', 'Drama', 'War']",901,Grave of the Fireflies,1988,Not Rated,95327,89,"Animation, Drama, War",94.0,8.5,229726,--
28,20.805,914,2074,8.4,The Great Dictator,1940-10-23,en,['Comedy'],774,The Great Dictator,1940,Passed,32553,125,"Comedy, Drama, War",,8.4,199964,0.29
29,50.588,244786,10305,8.4,Whiplash,2014-10-10,en,"['Drama', 'Music']",493,Whiplash,2014,R,2582802,106,"Drama, Music",88.0,8.5,701085,13.09
30,28.373,73,8009,8.4,American History X,1998-10-30,en,['Drama'],557,American History X,1998,R,120586,119,Drama,62.0,8.5,1022675,6.72
31,14.172,3782,582,8.4,Ikiru,1952-10-09,ja,['Drama'],814,Ikiru,1952,Not Rated,44741,143,Drama,,8.3,66820,0.06
32,26.489,423,5759,8.4,The Pianist,2002-09-17,en,"['Drama', 'War']",376,The Pianist,2002,R,253474,150,"Biography, Drama, Music",85.0,8.5,716652,32.57
33,15.937,901,1273,8.4,City Lights,1931-02-01,en,"['Comedy', 'Drama', 'Romance']",827,City Lights,1931,G,21749,87,"Comedy, Drama, Romance",99.0,8.5,164993,0.02
34,28.904,128,5131,8.4,Princess Mononoke,1997-07-12,ja,"['Adventure', 'Fantasy', 'Animation']",657,Princess Mononoke,1997,PG-13,119698,134,"Animation, Adventure, Fantasy",76.0,8.4,336144,2.38
35,22.073,567,4041,8.4,Rear Window,1954-09-01,en,"['Thriller', 'Mystery', 'Drama']",357,Rear Window,1954,PG,47396,112,"Mystery, Thriller",100.0,8.4,437521,36.76
36,15.539,14537,411,8.3,Harakiri,1962-09-15,ja,"['Action', 'Drama', 'History']",939,Harakiri,1962,Not Rated,56058,133,"Action, Drama, Mystery",85.0,8.6,39360,--
37,13.459,12493,369,8.3,High and Low,1963-03-01,ja,"['Crime', 'Drama', 'Mystery', 'Thriller']",931,High and Low,1963,Not Rated,57565,143,"Crime, Drama, Mystery",,8.4,32717,--
38,13.144,975,1685,8.3,Paths of Glory,1957-09-18,en,"['Drama', 'War']",952,Paths of Glory,1957,Approved,50825,88,"Drama, War",90.0,8.4,175135,--
39,66.189,120,17961,8.3,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,en,"['Adventure', 'Fantasy', 'Action']",31,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,120737,178,"Action, Adventure, Drama",92.0,8.8,1634918,315.54
40,34.407,18491,623,8.3,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,ja,"['Drama', 'Science Fiction', 'Animation', 'Fantasy', 'Action']",887,Neon Genesis Evangelion: The End of Evangelion,1997,TV-14,169858,87,"Animation, Action, Drama",,8.1,37434,--
41,54.469,27205,27539,8.3,Inception,2010-07-15,en,"['Action', 'Science Fiction', 'Adventure']",41,Inception,2010,PG-13,1375666,148,"Action, Adventure, Sci-Fi",74.0,8.8,2030014,292.58
42,19.756,207,7516,8.3,Dead Poets Society,1989-06-02,en,['Drama'],195,Dead Poets Society,1989,PG,97165,128,"Comedy, Drama",79.0,8.1,416594,95.86
43,16.17,3082,2375,8.3,Modern Times,1936-02-11,en,"['Comedy', 'Drama']",793,Modern Times,1936,G,27977,87,"Comedy, Drama, Family",96.0,8.5,214090,0.16
44,37.158,807,14014,8.3,Se7en,1995-09-22,en,"['Crime', 'Mystery', 'Thriller']",189,Se7en,1995,R,114369,127,"Crime, Drama, Mystery",65.0,8.6,1419701,100.13
45,57.898,121,15514,8.3,The Lord of the Rings: The Two Towers,2002-12-18,en,"['Action', 'Adventure', 'Fantasy']",22,The Lord of the Rings: The Two Towers,2002,PG-13,167261,179,"Action, Adventure, Drama",87.0,8.7,1463500,342.55
46,40.595,101,10078,8.3,Léon: The Professional,1994-09-14,en,"['Crime', 'Drama', 'Action']",448,Léon: The Professional,1994,R,110413,110,"Action, Crime, Drama",64.0,8.5,1018888,19.50
47,9.305,274,11011,8.3,The Silence of the Lambs,1991-02-01,en,"['Crime', 'Drama', 'Thriller', 'Horror']",143,The Silence of the Lambs,1991,R,102926,118,"Crime, Drama, Thriller",85.0,8.6,1249908,130.74
48,100.563,157336,24124,8.3,Interstellar,2014-11-05,en,"['Adventure', 'Drama', 'Science Fiction']",93,Interstellar,2014,PG-13,816692,169,"Adventure, Drama, Sci-Fi",74.0,8.6,1475731,188.02
49,12.462,18148,557,8.3,Tokyo Story,1953-11-03,ja,['Drama'],964,Tokyo Story,1953,Not Rated,46438,136,Drama,,8.2,51635,--
50,19.864,335,2758,8.3,Once Upon a Time in the West,1968-12-21,it,['Western'],584,Once Upon a Time in the West,1968,PG-13,64116,165,Western,80.0,8.5,298673,5.32
51,11.561,265177,1909,8.3,Mommy,2014-05-22,fr,['Drama'],628,Mommy,2014,R,3612616,139,Drama,74.0,8.1,49525,3.49
52,11.505,10376,1501,8.3,The Legend of 1900,1998-10-28,it,"['Drama', 'Music', 'Romance']",777,The Legend of 1900,1998,R,120731,169,"Drama, Music, Romance",58.0,8.1,58130,0.26
53,24.862,290098,1928,8.3,The Handmaiden,2016-06-01,ko,"['Thriller', 'Drama', 'Romance']",673,The Handmaiden,2016,Not Rated,4016934,145,"Drama, Romance, Thriller",84.0,8.1,108275,2.01
54,59.536,508965,1899,8.3,Klaus,2019-11-08,en,"['Animation', 'Family', 'Adventure', 'Comedy']",853,Klaus,2019,PG,4729430,96,"Animation, Adventure, Comedy",65.0,8.2,78482,--
55,20.778,25237,572,8.3,Come and See,1985-09-03,ru,"['Drama', 'War', 'History']",903,Come and See,1985,Not Rated,91251,142,"Drama, Thriller, War",,8.3,56455,--
56,226.564,299534,15581,8.3,Avengers: Endgame,2019-04-24,en,"['Adventure', 'Science Fiction', 'Action']",1,Avengers: Endgame,2019,PG-13,4154796,181,"Action, Adventure, Drama",78.0,8.4,778195,858.37
57,69.816,398818,8127,8.3,Call Me by Your Name,2017-09-01,en,"['Romance', 'Drama']",455,Call Me by Your Name,2017,R,5726616,132,"Drama, Romance",93.0,7.9,204569,18.10
58,14.359,797,1155,8.3,Persona,1966-10-18,sv,['Drama'],927,Persona,1966,Not Rated,60827,83,"Drama, Thriller",86.0,8.1,100692,--
59,15.833,1398,1119,8.3,Stalker,1979-05-25,ru,"['Science Fiction', 'Drama']",780,Stalker,1979,Not Rated,79944,162,"Drama, Sci-Fi",,8.2,114166,0.23
60,54.491,105,14028,8.3,Back to the Future,1985-07-03,en,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",79,Back to the Future,1985,PG,88763,116,"Adventure, Comedy, Sci-Fi",87.0,8.5,1040190,210.61
61,27.019,490132,7024,8.3,Green Book,2018-11-16,en,"['Drama', 'Comedy']",205,Green Book,2018,PG-13,6966692,130,"Biography, Comedy, Drama",69.0,8.2,353732,85.08
62,26.806,28,5291,8.3,Apocalypse Now,1979-08-15,en,"['Drama', 'War']",206,Apocalypse Now,1979,R,78788,147,"Drama, Mystery, War",94.0,8.4,597642,83.47
63,13.044,37257,733,8.3,Witness for the Prosecution,1957-12-17,en,"['Crime', 'Drama', 'Mystery']",538,Witness for the Prosecution,1957,Approved,51201,116,"Crime, Drama, Mystery",,8.4,106612,8.18
